EPS Gr %,EPS Qtr Gr %,Rev Gr %
-0.003,-0.014,0.063
-0.103,-0.098,0.041
-0.646,-0.642,0.107
,,0.32
0.375,0.304,0.023
0.524,0.445,0.09
0.436,0.403,0.173
0.2,0.208,-0.077
-0.449,-0.451,-0.073
0.374,0.378,0.491
0.002,0.048,0.229
-0.449,-0.451,-0.073
0.045,0.028,0.058
0.49,0.342,0.128
1.125,1.135,0.076
-0.054,-0.061,0.059
0.022,0.026,0.063
0.018,-0.014,0.302
0.004,-0.054,0.054
,,0.176
,0.228,0.156
0.096,0.113,0.117
,0.354,0.027
-0.013,-0.04,0.034
0.361,0.349,0.048
0.031,-0.081,0.202
0.679,0.66,0.087
,,0.057
-0.008,-0.053,-0.0
0.087,0.076,0.082
0.326,0.331,0.11
,,2.753
0.106,0.069,-0.007
1.535,1.523,0.197
0.307,0.245,-0.048
0.233,0.234,0.011
,,2.753
,,-0.027
0.092,0.097,0.179
,,0.164
0.704,0.642,-0.006
0.683,0.654,0.165
-0.288,-0.273,0.037
0.104,0.103,0.038
,,0.148
-0.058,-0.057,0.056
,,0.896
0.346,0.346,
,,-0.018
,,2.753
0.446,0.41,0.066
-0.041,-0.048,-0.002
-0.108,-0.099,0.063
0.053,0.054,0.102
0.244,0.244,0.204
,,0.002
0.015,0.004,-0.283
0.037,0.033,0.068
,,0.11
-0.586,-0.586,-0.194
0.036,-0.013,0.08
0.062,0.005,0.045
0.048,0.011,0.073
0.0,0.002,0.166
0.018,0.2,0.118
-0.86,-0.86,0.233
0.729,0.38,-0.053
,,0.11
0.729,0.38,-0.053
0.127,0.022,0.142
-0.531,-0.47,-0.028
,32.636,0.017
,,130.476
0.317,0.316,0.105
0.136,0.136,0.499
-0.109,-0.113,0.148
1.154,1.183,0.19
0.06,0.053,0.098
0.002,0.048,0.229
0.136,0.136,0.499
-0.728,-0.63,0.065
-0.728,-0.63,0.065
0.0,0.011,0.038
,,-0.057
0.235,0.211,-0.03
0.244,0.245,0.12
-0.224,-0.22,-0.025
-0.039,-0.049,0.05
-0.244,-0.242,0.03
0.312,0.274,0.1
,-0.26,-0.193
0.134,0.124,0.025
-0.021,-0.025,0.233
-0.169,-0.16,-0.166
,,-0.464
,,0.236
0.627,0.627,0.069
0.142,0.116,0.073
,,0.215
,,0.043
-0.007,0.018,-0.01
-0.065,-0.069,0.072
-0.375,-0.379,0.001
-0.244,-0.242,0.03
,,0.215
0.02,0.019,0.114
,,0.836
,,-0.028
,,0.157
0.199,0.193,-0.054
0.286,0.289,0.152
-0.781,-0.783,-0.002
,,0.007
,,
0.047,0.036,-0.004
,,0.087
0.334,0.288,0.072
0.267,0.262,0.099
0.677,0.607,0.113
,,
-0.063,-0.138,0.04
,32.636,0.017
0.304,0.318,0.21
0.064,0.061,0.006
0.076,0.04,0.036
0.105,0.118,0.016
-0.019,-0.029,0.043
1.757,1.756,0.396
1.062,0.902,0.111
0.828,0.658,0.127
0.113,0.006,-0.05
0.275,0.222,0.096
1.23,1.274,0.318
,,3.39
1.154,1.158,0.031
0.083,0.08,0.081
,,0.183
0.039,0.033,0.127
0.874,0.88,0.02
-0.298,-0.408,0.003
0.036,0.009,0.008
0.142,0.138,0.059
0.525,0.526,0.042
0.525,0.526,0.042
-0.594,-0.597,-0.093
1.154,1.158,0.031
0.062,0.04,0.03
,,0.052
,,-0.02
0.08,-0.022,0.029
-0.05,-0.062,0.05
,,0.153
-0.06,-0.075,0.083
0.088,0.09,0.043
0.25,0.252,0.121
0.289,0.252,0.063
1.243,1.244,0.159
0.33,0.211,0.053
,,-0.015
-0.169,-0.167,0.03
-0.5,-0.523,-0.001
-0.067,-0.132,0.066
,,0.818
0.419,0.447,0.045
,,0.098
,,0.031
0.379,0.43,0.185
0.088,0.088,0.338
-0.174,-0.213,0.065
-0.628,-0.633,0.171
0.429,0.421,0.101
-0.107,-0.108,0.018
0.306,0.288,0.058
0.695,0.632,0.078
0.0,-0.018,0.025
-0.102,-0.055,0.038
0.434,0.436,0.471
0.198,0.207,0.092
,,0.228
,,0.056
,-0.137,-0.082
0.274,0.247,0.08
-0.04,-0.039,0.022
0.309,0.302,0.047
,,
0.08,0.08,-0.005
,-0.137,-0.082
0.309,0.302,0.047
-0.548,-0.351,0.31
,,0.813
,,0.031
