P/E (TTM),P/E (FWD),P/S (TTM),P/B,PEG R
24.422123,15.089261,3.6369183,2.1272538,-23.503521806853584
23.615,,0.062248357,0.15070197,
51.919792,,,2.8168688,
37.97345,32.755726,4.969725,16.315588,-1091.8575333333335
23.060104,18.995304,3.6365097,6.349564,3799.0608
43.1,135.35536,10.005217,2.5130424,9.818320034817932
11.9430895,11.156961,3.1281304,0.9642271,23.941976394849785
37.05626,26.320679,7.593112,2.8881655,221.18217647058822
21.790697,,0.6487572,1.277524,
26.658333,17.13313,4.657326,5.899881,-55.09045016077171
47.25,22.438354,7.25394,14.810126,148.59837086092716
35.881386,12.500319,2.635344,2.2126076,65.79115263157894
58.546436,37.225395,2.163118,7.1468253,180.70580097087378
38.234234,,3.8328798,3.4283867,
69.03191,28.09091,3.912854,4.7227073,8.025974285714286
37.81982,21.20202,3.7802076,3.391227,-90.60692307692308
37.36207,21.384869,2.4629393,3.7612822,-29.17444611186903
5.277668,,3.8428352,0.5569641,
57.84466,37.4717,9.945724,1.3912759,-151.09556451612903
9.715428,10.853914,0.82193595,2.4765594,1.8499938639850009
18.489681,17.50444,1.6107723,4.6072936,78.84882882882883
49.932434,,0.059775688,0.09416904,
46.510994,,24.625105,11.544838,
36.138462,29.923565,6.6469955,4.5655975,28.41744064577398
8.6274805,5.346263,0.28679067,0.8149109,-21.299852589641436
17.464407,19.44151,3.746097,2.1414025,-141.90883211678832
20.610466,10.426471,0.61361915,2.416661,-44.17996186440678
46.20408,,0.05893445,0.086548865,
13.401547,9.902417,0.6045353,1.9098324,-74.45426315789473
19.644066,15.784046,3.969335,1.7176186,-42.77519241192412
14.078994,21.274094,2.900465,7.946169,23.611647058823532
13.453311,8.177503,0.72176325,1.9086158,-41.93591282051282
7.675214,,10.23297,2.1135213,
20.348837,18.121302,3.4329042,1.9923234,47.56247244094488
143.20389,35.456734,3.4822757,5.093408,-59.79213153456998
30.850279,19.18763,2.4170122,2.6770668,70.8030627306273
141.09999,60.042553,1.594614,10.954968,
11.990499,11.4467125,4.478727,3.7224393,-111.13313106796117
16.730703,12.569588,1.6469197,2.7039614,-35.208929971988795
13.47982,10.18983,1.6347607,1.0810227,11.513932203389832
9.111914,,2.3595188,1.0728099,
5.5561275,,0.64854246,0.47873715,
52.622612,52.9306,12.543475,34.781055,108.46434426229509
11.578767,9.212534,1.4215391,2.2502496,-236.2188205128205
26.335001,,13.091777,11.704445,
31.237473,26.976482,10.574133,10.0174675,-79.81207692307692
29.56057,13.113804,0.3782413,1.8294475,-133.81432653061225
23.973837,16.17059,0.37460265,3.016239,-188.0301162790698
30.220526,26.164463,8.949041,12.087154,-119.47243378995434
5.508814,,2.0327218,0.8756288,
33.631336,22.735203,2.8852956,1.9150834,82.97519343065692
50.775864,36.358025,0.01088545,0.006700507,119.20663934426229
31.818182,,12.598564,1244.4443,
52.793106,28.886795,0.010792343,0.0034833536,94.71080327868853
60.564598,36.796513,5.315233,15.462986,45.76680721393034
13.022526,10.16133,1.395721,2.011832,-56.45183333333333
75.49797,34.405903,5.1923976,5.7671256,702.1612857142858
31.150444,17.170732,3.0342717,1.9137716,323.97607547169815
33.95816,33.12653,8.381391,4.5247254,-441.68706666666674
15.744158,13.078695,2.6198483,7.842508,38.69436390532544
22.968452,21.766815,2.2406757,8.549788,3109.545
,,2.769583,,
25.236609,23.606506,2.7200134,12.962862,491.80220833333334
11.938838,12.35443,0.95260334,1.0665501,-51.26319502074689
44.822533,26.519999,1.2425675,5.6503673,37.142855742296916
19.46049,15.593886,0.32128403,5.7886205,
3.0946586,,0.6427709,0.58193034,
,,0.20271572,1.2429202,
