Rev,Gr P,EBITDA,Op P,Net Inc,ROA,ROE,EPS (TTM),EPS (FWD)
10386794496.0,6247789056.0,4646811136.0,2965533696.55296,1957676032.0,0.03387,0.05652,3.67,7.54
9221499904.0,6769900032.0,1589033216.0,1807690626.1811202,1133900032.0,0.03566,0.17452998,1.6,7.2
58519998464.0,32593000448.0,18243000320.0,15437575594.803198,7114999808.0,0.04536,0.09685001,3.5,
58519998464.0,32593000448.0,18243000320.0,15437575594.803198,7114999808.0,0.04536,0.09685001,3.5,3.74
33575999488.0,12832000000.0,6718000128.0,5994658948.587521,4195000064.0,0.09073,0.29528,2.28,
33575999488.0,12832000000.0,6718000128.0,5994658948.587521,4195000064.0,0.09073,0.29528,2.28,2.49
2054846152704.0,2054846152704.0,,806588760320.9011,528909598720.0,0.02229,0.17884001,1.69,1.64
24096000000.0,12419999744.0,3644999936.0,2927663759.04,2052999936.0,0.06996,0.43825,40.41,48.38
53729001472.0,14892999680.0,18208000000.0,13459652158.750721,10272000000.0,0.07299,0.17158002,6.28,
59385999360.0,28643000320.0,25144000512.0,11716263813.7344,9155999744.0,0.082729995,0.1593,7.46,8.03
34200000512.0,22357999616.0,9367000064.0,6359148095.20128,4659999744.0,,,3.62,5.85
12156162048.0,7404295168.0,5408314880.0,5175971995.29468,4061643008.0,0.19896999,1.00775,30.39,32.82
20259000320.0,14531999744.0,12572999680.0,12676259090.2272,8762999808.0,0.23014,,5.17,5.35
46308999168.0,19790000128.0,4477000192.0,1339719345.9302402,3219000064.0,0.06196,0.23290001,2.16,3.23
9277824000.0,3677893888.0,3469851904.0,1730963530.9017599,1129665024.0,0.01922,0.0345,1.79,1.82
57486000128.0,15809000448.0,11420000256.0,12829726083.427042,9198000128.0,0.02776,0.13627,22.65,23.61
6221316096.0,5064891904.0,1471897984.0,1459769608.76544,1350064000.0,0.04671,0.15551,8.66,14.87
31377000448.0,31377000448.0,,17802054974.17728,10119000064.0,0.01447,0.18847999,2.05,
31377000448.0,31377000448.0,,17802054974.17728,10119000064.0,0.01447,0.18847999,2.05,1.6
3346440126464.0,3346440126464.0,,1190864183403.479,483675013120.0,0.00174,0.03518,2.06,
19379245056.0,8712523776.0,1815165952.0,1797037394.04288,1195142016.0,0.04033,0.14519,1.95,2.11
3346440126464.0,3346440126464.0,,1190864183403.479,483675013120.0,0.00174,0.03518,1.24,0.41
5637000192.0,5128999936.0,,4209711743.3856,838000000.0,0.02372,0.22389999,1.9,6.91
11895000064.0,6071000064.0,834000000.0,670045353.60512,781000000.0,0.02545,0.0964,1.83,1.78
64476999680.0,26411999232.0,16888999936.0,11663889886.881996,6224000000.0,0.034479998,0.099209994,2.05,2.14
71844003840.0,5929999872.0,7193999872.0,2789702453.575188,4204000000.0,0.06467,0.73056,17.84,28.11
28362999808.0,13822999552.0,13363999744.0,7964329778.826404,4283000064.0,0.03387,0.11229,3.87,4.32
25799000064.0,11406999552.0,7580000256.0,6943542877.224959,4127000064.0,0.07864,0.28408,8.32,9.43
4136022016.0,3080400896.0,-12793000.0,-442512995.49184,-172298000.0,-0.01467,-0.05738,-0.71,4.27
53070000128.0,17471000576.0,9201000448.0,-2018252104.86784,-20504000512.0,-0.00853,-0.18616,-4.77,0.97
9688000512.0,9688000512.0,6023000064.0,4979244743.14752,3003000064.0,0.02123,0.11062,5.2,6.74
11418800128.0,6383799808.0,4801399808.0,4445453077.83168,3637600000.0,0.13094,0.22771,14.08,18.77
36689301504.0,8709699584.0,5576399872.0,3489152573.0304003,2632399872.0,0.07566,,2.31,3.72
8914973696.0,6804597760.0,6337437184.0,3745982797.32224,3442871040.0,0.024330001,0.06365,3.71,3.52
13726742740992.0,3776811106304.0,3500037111808.0,1793261671683.195,985594003456.0,0.03607,0.10086001,0.08,
,,,,,,,0.06,0.08
53729001472.0,14892999680.0,18208000000.0,13459652158.750721,10272000000.0,0.07299,0.17158002,6.28,6.82
47703998464.0,35262001152.0,19114000384.0,16058118531.831726,5048999936.0,0.08344,0.29319,2.49,7.03
6432699904.0,6432699904.0,4546999808.0,4301803926.781958,3721400064.0,0.01737,0.13612,10.33,10.37
53729001472.0,14892999680.0,18208000000.0,13459652158.750721,10272000000.0,0.07299,0.17158002,6.28,
10259600384.0,7630199808.0,6625500160.0,4684020555.3152,2501299968.0,0.04538,0.24281,5.34,6.79
24820000768.0,5404000256.0,6354999808.0,3820046318.20288,3008999936.0,0.04483,0.23515,9.58,8.95
