Rev/Sh,FCF/Sh,Cash/Sh,BV/Sh
19.228,0.4063334127576237,1.919,10.919
43.263,9.921598317238741,13.997,44.604
39.3985,-0.28994464705533846,7.045,71.504
24.558,0.9197193820425489,3.215,20.417
26.971,3.705766047882181,6.854,8.887
20.538,1.578996541346629,6.985,1.912
27.435,9.222534689528352,,15.394
13.229,-0.8003702168987252,5.899,0.62
73.778,7.475020344779418,12.121,26.019
19.228,0.4063334127576237,1.919,10.919
269.487,3.7424812773597695,158.555,418.729
73.778,7.475020344779418,12.121,26.019
12.328,0.3561146271352377,10.854,81.032
17.025,,10.454,65.172
23.777,-4.597150500397141,0.439,43.691
5.437,1.7784143626803983,3.451,5.503
126.404,14.371327383047015,6.631,221.329
16.779,8.070590159792568,6.358,-21.301
49.312,3.5611464475070878,10.854,81.032
109.225,14.882564505211858,53.922,6.715
20.581,7.211921631480972,1.664,29.325
52.828,1.4107961737848282,2.15,35.266
8.031,3.6798863646266327,0.082,28.925
37.011,2.180546194800993,8.651,10.545
13.542,1.2476230189166382,2.401,9.98
68.015,2.7608550819672133,7.244,33.571
35.824,12.312757598046911,12.01,26.8
15.481,177.36556699332948,12.588,31.491
116.094,,100.692,239.065
24.069,-2.0963440449269326,0.985,22.257
35.824,10.97340281171751,12.01,26.8
15.481,17.95472516662568,12.588,31.491
15.481,1.9261985385951235,12.588,31.491
56.649,2.8242587748373364,2.871,-1.355
1281.026,1.2356643218463483,443.782,1368.572
9.675,1.0561274980392157,2.919,3.129
13.794,-3.0860130010579336,1.219,16.879
30.2015,6.236073038828126,16.387,20.914
187.028,7.430003901286261,3.862,35.006
652.074,,2166.905,1637.736
652.074,,2166.905,1637.736
87.129,4.0556296363875965,6.276,63.639
60.403,12.472117945592958,16.387,20.914
52.307,12.00412373040419,20.627,84.035
216.317,11.721266726187945,9.633,55.996
2.107,0.3436492926391959,0.31,4.689
56.588,9.24022978842651,2.84,70.629
57.046,5.835952571936938,9.224,54.263
4.979,,7.981,12.983
35.544,-1.1258706303788177,0.926,42.221
40.003,,58.487,62.654
62.292,6.7930303907380605,8.514,17.572
9815.534,,911.78,2533.807
102.78,6.4155840644967626,2.051,19.749
9.398,1.1977129262857467,4.215,8.914
54.801,11.242645735399892,31.684,39.184
26.561,4.032461267010914,0.547,15.703
74.677,9.61624556197882,7.002,91.497
3729.574,,513.398,1513.687
144.855,2.6341059426339872,55.113,71.531
565.39026,,214.811,1499.855
17.025,,10.454,65.172
4.944,1.2798146007039275,0.949,6.198
87.829,10.313120065545764,11.058,35.739
2261.561,,214.811,1499.855
25.328,-0.985021503273452,2.564,-45.949
5.772,1.5154624873177764,3.911,7.082
38.395,10.421716613325575,2.496,7.21
84.087,5.762448422585963,4.827,18.581
245.466,19.485057847709232,10.115,53.956
30040.771,,232731.66,107911.305
,,,23.985
67.179,6.664692964619764,8.827,38.398
13.204,-0.5294302985700537,6.291,19.836
